Timestamp,Views
2018-08-26 10:00:00,7080938
2018-08-26 10:30:00,7116225
2018-08-26 11:00:00,7165360
2018-08-26 11:30:00,7231229
2018-08-26 12:00:00,7267488
2018-08-26 12:30:00,7560079
2018-08-26 13:00:00,7579683
2018-08-26 13:30:00,7626038
2018-08-26 14:00:00,7657443
2018-08-26 14:30:00,7840931
2018-08-26 15:00:00,7862791
2018-08-26 15:30:00,7881571
2018-08-26 16:00:00,7908901
2018-08-26 16:30:00,7924752
2018-08-26 17:00:00,7939908
2018-08-26 17:30:00,7959365
2018-08-26 18:00:00,7982292
2018-08-26 18:30:00,8001051
2018-08-26 19:00:00,8008394
2018-08-26 19:30:00,8014127
2018-08-26 20:00:00,8019941
2018-08-26 20:30:00,8023155
2018-08-26 21:00:00,8027750
2018-08-26 21:30:00,8032951
2018-08-26 22:00:00,8037561
2018-08-26 22:30:00,8041095
2018-08-26 23:00:00,8044578
2018-08-26 23:30:00,8048657
2018-08-27 00:00:00,8052738
2018-08-27 00:30:00,8059251
2018-08-27 01:00:00,8076528
2018-08-27 01:30:00,8104350
2018-08-27 02:00:00,8144099
2018-08-27 02:30:00,8179868
2018-08-27 03:00:00,8223019
2018-08-27 03:30:00,8287694
2018-08-27 04:00:00,8332445
2018-08-27 04:30:00,8363038
2018-08-27 05:00:00,8390624
2018-08-27 05:30:00,8497033
2018-08-27 06:00:00,8541879
2018-08-27 06:30:00,8575082
2018-08-27 07:00:00,8604747
2018-08-27 07:30:00,8694814
2018-08-27 08:00:00,8725634
2018-08-27 08:30:00,8739278
2018-08-27 09:00:00,8760716
2018-08-27 09:30:00,8803803
2018-08-27 10:00:00,8860028
2018-08-27 10:30:00,8891041
2018-08-27 11:00:00,8940862
2018-08-27 11:30:00,8990155
2018-08-27 12:00:00,9012932
2018-08-27 12:30:00,9314574
2018-08-27 13:00:00,9337146
2018-08-27 13:30:00,9409172
2018-08-27 14:00:00,9560631
2018-08-27 14:30:00,9587402
2018-08-27 15:00:00,9635722
2018-08-27 15:30:00,9668652
2018-08-27 16:00:00,9683716
2018-08-27 16:30:00,9689983
2018-08-27 17:00:00,9706925
2018-08-27 17:30:00,9730208
2018-08-27 18:00:00,9789548
2018-08-27 18:30:00,9835472
